,ibi_s,day,time
1,0.493,1,09:20:26
2,0.282,1,09:20:26
3,0.35,1,09:20:27
4,0.435,1,09:20:27
5,0.255,1,09:20:27
6,0.275,1,09:20:28
7,0.697,1,09:20:28
8,0.334,1,09:20:29
9,0.364,1,09:20:29
10,0.921,1,09:20:30
11,0.293,1,09:20:30
12,0.273,1,09:20:30
13,0.319,1,09:20:32
14,0.338,1,09:20:32
15,0.273,1,09:20:32
16,0.455,1,09:20:32
17,0.379,1,09:20:32
18,0.393,1,09:20:33
19,0.476,1,09:20:33
20,0.259,1,09:20:33
21,0.271,1,09:20:34
22,0.275,1,09:20:34
23,5.624,1,09:20:40
24,0.33,1,09:20:40
25,0.265,1,09:20:40
26,0.264,1,09:20:40
27,0.373,1,09:20:41
28,0.284,1,09:20:41
29,0.37,1,09:20:41
30,2.444,1,09:20:44
31,1.307,1,09:20:45
32,0.332,1,09:20:45
33,4.422,1,09:21:00
34,0.699,1,09:21:01
35,0.726,1,09:21:01
36,0.704,1,09:21:02
37,0.743,1,09:21:03
38,0.763,1,09:21:04
39,0.757,1,09:21:04
40,0.767,1,09:21:05
41,0.805,1,09:21:06
42,0.842,1,09:21:07
43,0.824,1,09:21:08
44,0.792,1,09:21:08
45,0.758,1,09:21:09
46,0.765,1,09:21:10
47,0.74,1,09:21:11
48,0.718,1,09:21:11
49,0.686,1,09:21:12
50,0.678,1,09:21:13
51,0.649,1,09:21:13
52,0.623,1,09:21:14
53,0.626,1,09:21:15
54,0.674,1,09:21:15
55,0.779,1,09:21:16
56,0.736,1,09:21:17
57,0.78,1,09:21:18
58,0.831,1,09:21:18
59,0.779,1,09:21:19
60,0.82,1,09:21:20
61,0.862,1,09:21:21
62,0.844,1,09:21:22
63,0.892,1,09:21:23
64,0.889,1,09:21:23
65,0.872,1,09:21:31
66,0.826,1,09:21:32
67,0.734,1,09:21:33
68,0.739,1,09:21:33
69,0.74,1,09:21:34
70,0.8,1,09:21:35
71,0.854,1,09:21:36
72,0.881,1,09:21:37
73,0.928,1,09:21:38
74,0.886,1,09:21:38
75,0.881,1,09:21:39
76,0.864,1,09:21:40
77,0.812,1,09:21:41
78,0.797,1,09:21:42
79,0.839,1,09:21:43
80,0.882,1,09:21:43
81,0.882,1,09:21:44
82,0.931,1,09:21:45
83,0.891,1,09:21:46
84,0.877,1,09:21:47
85,0.825,1,09:21:48
86,0.825,1,09:21:49
87,0.815,1,09:21:50
88,0.771,1,09:21:50
89,0.778,1,09:21:51
90,0.83,1,09:21:52
91,0.881,1,09:21:53
92,0.923,1,09:21:54
93,0.846,1,09:21:55
94,0.863,1,09:21:55
95,0.908,1,09:21:56
96,0.838,1,09:22:04
97,0.838,1,09:22:05
98,0.833,1,09:22:05
99,0.838,1,09:22:06
100,0.875,1,09:22:07
101,0.833,1,09:22:08
102,0.821,1,09:22:09
103,0.79,1,09:22:10
104,0.761,1,09:22:10
105,0.751,1,09:22:11
106,0.735,1,09:22:12
107,0.724,1,09:22:12
108,0.716,1,09:22:13
109,0.725,1,09:22:14
110,0.718,1,09:22:15
111,0.702,1,09:22:15
112,0.727,1,09:22:16
113,0.743,1,09:22:17
114,0.752,1,09:22:18
115,0.748,1,09:22:18
116,0.752,1,09:22:19
117,0.76,1,09:22:20
118,0.758,1,09:22:21
119,0.749,1,09:22:21
120,0.739,1,09:22:22
121,0.737,1,09:22:23
122,0.741,1,09:22:24
123,0.71,1,09:22:24
124,0.699,1,09:22:25
125,0.724,1,09:22:26
126,0.751,1,09:22:26
127,0.744,1,09:22:27
128,0.752,1,09:22:28
129,0.761,1,09:22:29
130,0.786,1,09:22:29
131,0.754,1,09:22:37
132,0.325,1,09:22:37
133,0.409,1,09:22:38
134,0.709,1,09:22:38
135,0.781,1,09:22:39
136,0.823,1,09:22:40
137,0.84,1,09:22:41
138,0.827,1,09:22:42
139,0.779,1,09:22:42
140,0.783,1,09:22:43
141,0.778,1,09:22:44
142,0.773,1,09:22:45
143,0.764,1,09:22:46
144,0.776,1,09:22:46
145,0.793,1,09:22:47
146,0.842,1,09:23:27
147,0.837,1,09:23:28
148,0.818,1,09:23:29
149,0.838,1,09:23:30
150,0.849,1,09:23:31
151,0.814,1,09:23:31
152,0.835,1,09:23:32
153,0.848,1,09:23:33
154,0.795,1,09:23:34
155,0.828,1,09:23:35
156,0.88,1,09:23:36
157,0.827,1,09:23:36
158,0.785,1,09:23:37
159,0.8,1,09:23:38
160,0.771,1,09:23:39
161,0.756,1,09:23:40
162,0.752,1,09:23:40
163,0.765,1,09:23:41
164,0.772,1,09:23:42
165,0.787,1,09:23:43
166,0.792,1,09:23:43
167,0.758,1,09:23:44
168,0.757,1,09:23:45
169,0.748,1,09:23:46
170,0.761,1,09:23:46
171,0.76,1,09:23:47
172,0.758,1,09:23:48
173,0.778,1,09:23:49
174,0.754,1,09:23:50
175,0.698,1,09:23:50
176,0.599,1,09:23:51
177,0.603,1,09:23:51
178,0.615,1,09:23:52
179,0.734,1,09:24:00
180,0.763,1,09:24:01
181,0.771,1,09:24:02
182,0.763,1,09:24:02
183,0.757,1,09:24:03
184,0.736,1,09:24:04
185,0.725,1,09:24:05
186,0.732,1,09:24:05
187,0.735,1,09:24:06
188,0.766,1,09:24:07
189,0.747,1,09:24:08
190,0.696,1,09:24:08
191,0.682,1,09:24:09
192,0.698,1,09:24:10
193,0.685,1,09:24:10
194,0.704,1,09:24:11
195,0.746,1,09:24:12
196,0.792,1,09:24:13
197,0.822,1,09:24:13
198,0.85,1,09:24:14
199,0.868,1,09:24:15
200,0.87,1,09:24:16
201,0.853,1,09:24:17
202,0.846,1,09:24:18
203,0.839,1,09:24:19
204,0.847,1,09:24:19
205,0.838,1,09:24:20
206,0.804,1,09:24:21
207,0.829,1,09:24:22
208,0.883,1,09:24:23
209,0.885,1,09:24:24
210,0.876,1,09:24:24
211,0.845,1,09:24:25
212,0.798,1,09:24:33
213,0.797,1,09:24:33
214,0.811,1,09:24:34
215,0.77,1,09:24:35
216,0.778,1,09:24:36
217,0.812,1,09:24:37
218,0.813,1,09:24:37
219,0.815,1,09:24:38
220,0.838,1,09:24:39
221,0.849,1,09:24:40
222,0.832,1,09:24:41
223,0.838,1,09:24:42
224,0.842,1,09:24:42
225,0.803,1,09:24:43
226,0.808,1,09:24:44
227,0.8,1,09:24:45
228,0.801,1,09:24:46
229,0.794,1,09:24:46
230,0.783,1,09:24:47
231,0.729,1,09:24:48
232,0.703,1,09:24:49
233,0.695,1,09:24:49
234,0.699,1,09:24:50
235,0.691,1,09:24:51
236,0.729,1,09:24:51
237,0.788,1,09:24:52
238,0.733,1,09:24:53
239,0.759,1,09:24:54
240,0.812,1,09:24:54
241,0.874,1,09:24:55
242,0.934,1,09:24:56
243,0.914,1,09:24:57
244,0.882,1,09:24:58
245,0.854,1,09:25:06
246,0.953,1,09:25:07
247,0.997,1,09:25:08
248,0.89,1,09:25:09
249,0.802,1,09:25:10
250,0.807,1,09:25:11
251,0.85,1,09:25:12
252,0.898,1,09:25:13
253,0.94,1,09:25:13
254,0.95,1,09:25:14
255,0.91,1,09:25:15
256,0.83,1,09:25:16
257,1.085,1,09:25:17
258,0.882,1,09:25:18
259,0.837,1,09:25:19
260,0.784,1,09:25:20
261,0.804,1,09:25:21
262,0.848,1,09:25:21
263,0.918,1,09:25:22
264,0.919,1,09:25:23
265,0.863,1,09:25:24
266,0.896,1,09:25:25
267,0.866,1,09:25:26
268,0.822,1,09:25:27
269,0.744,1,09:25:27
270,0.744,1,09:25:28
271,0.773,1,09:25:29
272,0.922,1,09:25:30
273,1.033,1,09:25:31
274,0.961,1,09:25:39
275,0.938,1,09:25:40
276,0.91,1,09:25:41
277,0.856,1,09:25:42
278,0.832,1,09:25:43
279,0.868,1,09:25:44
280,0.862,1,09:25:45
281,0.899,1,09:25:46
282,0.896,1,09:25:46
283,0.899,1,09:25:47
284,0.876,1,09:25:48
285,0.834,1,09:25:49
286,0.8,1,09:25:50
287,0.776,1,09:25:51
288,0.787,1,09:25:51
289,0.785,1,09:25:52
290,0.778,1,09:25:53
291,0.762,1,09:25:54
292,0.752,1,09:25:54
293,0.762,1,09:25:55
294,0.788,1,09:25:56
295,0.841,1,09:25:57
296,0.88,1,09:25:58
297,0.878,1,09:25:59
298,0.859,1,09:25:59
299,0.818,1,09:26:00
300,0.74,1,09:26:01
301,0.706,1,09:26:02
302,0.684,1,09:26:02
303,0.687,1,09:26:03
304,0.704,1,09:26:04
305,0.845,1,09:26:12
306,0.808,1,09:26:13
307,0.81,1,09:26:14
308,0.78,1,09:26:14
309,0.773,1,09:26:15
310,0.785,1,09:26:16
311,0.805,1,09:26:17
312,0.82,1,09:26:18
313,0.847,1,09:26:18
314,0.868,1,09:26:19
315,0.868,1,09:26:20
316,0.837,1,09:26:21
317,0.806,1,09:26:22
318,0.816,1,09:26:23
319,0.806,1,09:26:23
320,0.738,1,09:26:24
321,0.733,1,09:26:25
322,0.762,1,09:26:26
323,0.848,1,09:26:26
324,0.9,1,09:26:27
325,0.951,1,09:26:28
326,0.907,1,09:26:29
327,0.902,1,09:26:30
328,0.871,1,09:26:31
329,0.811,1,09:26:32
330,0.796,1,09:26:33
331,0.769,1,09:26:33
332,0.771,1,09:26:34
333,0.799,1,09:26:35
334,0.805,1,09:26:36
335,0.752,1,09:26:36
336,0.778,1,09:26:37
337,0.719,1,09:26:45
338,0.743,1,09:26:45
339,0.787,1,09:26:46
340,0.808,1,09:26:47
341,0.829,1,09:26:48
342,0.841,1,09:26:49
343,0.846,1,09:26:50
344,0.826,1,09:26:50
345,0.771,1,09:26:51
346,0.771,1,09:26:52
347,0.793,1,09:26:53
348,0.804,1,09:26:54
349,0.818,1,09:26:54
350,0.804,1,09:26:55
351,0.839,1,09:26:56
352,0.83,1,09:26:57
353,0.837,1,09:26:58
354,0.832,1,09:26:59
355,0.785,1,09:26:59
356,0.733,1,09:27:00
357,0.733,1,09:27:01
358,0.733,1,09:27:01
359,0.792,1,09:27:02
360,0.886,1,09:27:03
361,0.905,1,09:27:04
362,0.773,1,09:27:05
363,0.765,1,09:27:06
364,0.768,1,09:27:06
365,0.799,1,09:27:07
366,0.841,1,09:27:08
367,0.864,1,09:27:09
368,0.892,1,09:27:10
369,0.806,1,09:27:18
370,0.838,1,09:27:19
371,0.834,1,09:27:20
372,0.803,1,09:27:21
373,0.816,1,09:27:22
374,0.841,1,09:27:22
375,0.853,1,09:27:23
376,0.852,1,09:27:24
377,0.845,1,09:27:25
378,0.772,1,09:27:26
379,0.756,1,09:27:26
380,0.723,1,09:27:27
381,0.701,1,09:27:28
382,0.7,1,09:27:29
383,0.72,1,09:27:29
384,0.761,1,09:27:30
385,0.792,1,09:27:31
386,0.81,1,09:27:32
387,0.794,1,09:27:32
388,0.777,1,09:27:33
389,0.756,1,09:27:34
390,0.769,1,09:27:35
391,0.771,1,09:27:36
392,0.771,1,09:27:36
393,0.773,1,09:27:37
394,0.75,1,09:27:38
395,0.726,1,09:27:39
396,0.708,1,09:27:39
397,0.724,1,09:27:40
398,0.735,1,09:27:41
399,0.794,1,09:27:42
400,0.812,1,09:27:42
