,Axis1,Axis2,Axis3,Steps,HR,Inclinometer Off,Inclinometer Standing,Inclinometer Sitting,Inclinometer Lying,Vector Magnitude,day,time
69,87,257,110,1,79.0,0,1,0,0,292.78,1,09:33:09
70,17,211,89,0,79.0,0,1,0,0,229.63,1,09:33:10
71,28,55,0,1,79.0,0,1,0,0,61.72,1,09:33:11
72,0,23,0,0,77.0,0,0,1,0,23.0,1,09:33:12
73,0,0,0,0,74.0,0,0,1,0,0.0,1,09:33:13
74,91,129,76,0,73.0,0,1,0,0,175.21,1,09:33:14
75,67,83,13,1,72.0,0,1,0,0,107.46,1,09:33:15
76,117,212,131,0,72.0,0,1,0,0,275.31,1,09:33:16
77,79,69,48,0,71.0,0,1,0,0,115.35,1,09:33:17
78,7,40,14,0,71.0,0,1,0,0,42.95,1,09:33:18
79,0,24,3,0,71.0,0,0,1,0,24.19,1,09:33:19
80,0,0,0,0,71.0,0,0,1,0,0.0,1,09:33:20
81,0,0,12,0,71.0,0,0,1,0,12.0,1,09:33:21
82,16,0,26,1,71.0,0,1,0,0,30.53,1,09:33:22
83,12,0,7,0,71.0,0,1,0,0,13.89,1,09:33:23
84,0,0,0,0,72.0,0,0,1,0,0.0,1,09:33:24
85,0,0,0,0,72.0,0,0,1,0,0.0,1,09:33:25
86,0,0,0,0,72.0,0,0,1,0,0.0,1,09:33:26
87,0,0,0,0,72.0,0,0,1,0,0.0,1,09:33:27
88,0,0,0,0,72.0,0,0,1,0,0.0,1,09:33:28
89,4,0,0,1,72.0,0,0,1,0,4.0,1,09:33:29
90,0,0,0,0,72.0,0,0,1,0,0.0,1,09:33:30
91,0,0,0,0,72.0,0,0,1,0,0.0,1,09:33:31
92,0,0,0,0,71.0,0,0,1,0,0.0,1,09:33:32
93,0,0,0,0,71.0,0,0,1,0,0.0,1,09:33:33
94,0,0,0,0,71.0,0,0,1,0,0.0,1,09:33:34
95,0,0,0,0,71.0,0,0,1,0,0.0,1,09:33:35
102,0,4,0,0,69.0,0,0,1,0,4.0,1,09:33:42
103,4,1,6,0,70.0,0,0,1,0,7.28,1,09:33:43
104,66,133,69,0,70.0,0,1,0,0,163.73,1,09:33:44
105,25,85,44,1,71.0,0,1,0,0,98.92,1,09:33:45
106,97,214,141,0,71.0,0,1,0,0,274.02,1,09:33:46
107,91,109,52,1,72.0,0,1,0,0,151.22,1,09:33:47
108,49,86,56,1,72.0,0,1,0,0,113.72,1,09:33:48
109,22,70,52,1,72.0,0,1,0,0,89.93,1,09:33:49
110,17,19,27,1,73.0,0,1,0,0,37.13,1,09:33:50
111,13,4,9,1,73.0,0,1,0,0,16.31,1,09:33:51
112,0,0,0,0,74.0,0,0,0,1,0.0,1,09:33:52
113,0,0,0,0,74.0,0,0,0,1,0.0,1,09:33:53
114,5,0,0,0,74.0,0,0,0,1,5.0,1,09:33:54
115,15,75,26,1,74.0,0,1,0,0,80.78,1,09:33:55
116,55,212,24,0,74.0,0,1,0,0,220.33,1,09:33:56
117,65,131,76,1,73.0,0,1,0,0,164.81,1,09:33:57
118,82,338,80,1,73.0,0,1,0,0,356.89,1,09:33:58
119,104,99,17,1,73.0,0,1,0,0,144.59,1,09:33:59
120,67,53,39,0,73.0,0,1,0,0,93.91,1,09:34:00
121,57,18,22,0,73.0,0,1,0,0,63.69,1,09:34:01
122,25,27,2,1,74.0,0,1,0,0,36.85,1,09:34:02
123,62,37,18,2,74.0,0,1,0,0,74.41,1,09:34:03
139,14,81,67,1,104.0,0,1,0,0,106.05,1,09:34:19
140,29,4,42,0,103.0,0,1,0,0,51.2,1,09:34:20
141,14,32,89,0,102.0,0,1,0,0,95.61,1,09:34:21
142,7,38,52,0,102.0,0,1,0,0,64.78,1,09:34:22
143,10,14,44,0,102.0,0,1,0,0,47.24,1,09:34:23
144,0,0,0,0,102.0,0,0,0,1,0.0,1,09:34:24
145,61,79,16,1,101.0,0,1,0,0,101.08,1,09:34:25
146,0,30,5,0,100.0,0,0,1,0,30.41,1,09:34:26
147,0,0,0,0,99.0,0,0,1,0,0.0,1,09:34:27
148,10,27,23,0,98.0,0,1,0,0,36.85,1,09:34:28
149,35,153,134,1,97.0,0,1,0,0,206.37,1,09:34:29
150,33,261,154,1,97.0,0,1,0,0,304.84,1,09:34:30
151,0,85,20,0,96.0,0,0,1,0,87.32,1,09:34:31
152,0,65,0,0,96.0,0,0,1,0,65.0,1,09:34:32
153,0,0,0,0,96.0,0,0,1,0,0.0,1,09:34:33
154,0,0,0,0,95.0,0,0,1,0,0.0,1,09:34:34
155,0,0,0,0,95.0,0,0,1,0,0.0,1,09:34:35
156,0,0,0,0,95.0,0,0,1,0,0.0,1,09:34:36
157,0,0,0,0,95.0,0,0,1,0,0.0,1,09:34:37
158,0,0,0,0,94.0,0,0,1,0,0.0,1,09:34:38
159,4,10,4,0,93.0,0,0,1,0,11.49,1,09:34:39
160,6,0,4,0,92.0,0,0,1,0,7.21,1,09:34:40
161,0,0,0,0,92.0,0,0,1,0,0.0,1,09:34:41
162,0,0,0,0,91.0,0,0,1,0,0.0,1,09:34:42
163,0,0,0,0,91.0,0,0,1,0,0.0,1,09:34:43
164,0,0,0,0,91.0,0,0,1,0,0.0,1,09:34:44
165,0,0,0,0,90.0,0,0,1,0,0.0,1,09:34:45
172,0,0,0,0,89.0,0,0,1,0,0.0,1,09:34:52
173,0,0,0,0,89.0,0,0,1,0,0.0,1,09:34:53
174,0,0,0,0,89.0,0,0,1,0,0.0,1,09:34:54
175,0,0,0,0,88.0,0,0,1,0,0.0,1,09:34:55
176,0,0,0,0,95.0,0,0,1,0,0.0,1,09:34:56
177,0,0,0,0,95.0,0,0,1,0,0.0,1,09:34:57
178,0,0,0,0,95.0,0,0,1,0,0.0,1,09:34:58
179,0,0,0,0,95.0,0,0,1,0,0.0,1,09:34:59
180,1,0,10,1,95.0,0,0,1,0,10.05,1,09:35:00
181,47,141,34,0,95.0,0,1,0,0,152.47,1,09:35:01
182,19,61,0,1,95.0,0,1,0,0,63.89,1,09:35:02
