Season,PLAYER,POS,BODY FAT %,HAND LENGTH (inches),HAND WIDTH (inches),HEIGHT W/O SHOES,HEIGHT W/ SHOES,STANDING REACH,WEIGHT (LBS),WINGSPAN
2020-21,Zeke Nnaji,PF-C,5.90%,9,10.5,6'9.25'',6'10.50'',8'9.50'',246.8,7'2.00''
2020-21,Yoeli Childs,PF,8.20%,8.75,10,6'6.00'',6'7.00'',8'10.00'',226.4,6'11.50''
2020-21,Xavier Tillman Sr.,PF-C,8.50%,10.25,11,6'7.50'',6'8.50'',8'10.00'',266.5,7'2.00''
2020-21,Udoka Azubuike,C,9.61%,9.25,10,6'10.00'',6'11.50'',9'1.00'',259.5,7'7.25''
2020-21,Tyrell Terry,PG,7.60%,7.5,8.25,6'1.50'',6'3.00'',8'0.00'',170,6'1.75''
2020-21,Tyler Bey,PF,5.00%,8.5,9,6'6.00'',6'7.00'',8'9.50'',212.8,7'1.25''
2020-21,Ty-Shon Alexander,SG,12.30%,8.75,8.75,6'2.00'',6'4.00'',8'4.00'',200.8,6'8.00''
2020-21,Trent Forrest,PG,5.65%,9,9.75,6'3.50'',6'4.75'',8'6.50'',203,6'7.50''
2020-21,Theo Maledon,PG,2.80%,8.5,10,6'4.00'',6'5.00'',8'4.50'',187.4,6'8.75''
2020-21,Skylar Mays,SG,7.40%,8,9.75,6'3.00'',6'4.00'',8'3.00'',204,6'6.00''
2020-21,Robert Woodard II,SF,4.50%,9,10.75,6'5.50'',6'7.00'',8'9.50'',230.2,7'2.00''
2020-21,Reggie Perry,PF-C,8.40%,9.25,11,6'8.25'',6'9.25'',8'10.50'',249.6,7'0.25''
2020-21,Precious Achiuwa,PF,6.70%,9,10,6'7.50'',6'8.75'',9'0.50'',234,7'0.75''
2020-21,Paul Reed Jr.,PF,6.83%,9,8.75,6'8.50'',6'9.25'',9'1.50'',219.2,7'2.00''
2020-21,Paul Eboua,SF-PF,3.80%,9,10.25,6'6.00'',6'7.50'',9'0.00'',222.2,7'3.50''
2020-21,Nick Richards,C,8.50%,9,9,6'10.50'',6'11.50'',9'2.00'',241.6,7'2.25''
2020-21,Nathan Knight,PF-C,8.20%,9,9.5,6'8.00'',6'9.75'',9'1.50'',235,7'2.00''
2020-21,Naji Marshall,SF,8.70%,9.25,10.5,6'5.75'',6'7.00'',8'6.50'',233.5,7'0.75''
