Season,PLAYER,POS,Lane Agility Time  (seconds),Shuttle Run (seconds),Three Quarter Sprint (seconds),Standing Vertical Leap (inches),Max Vertical Leap (inches),Max Bench Press (reps)
2020-21,Precious Achiuwa,PF,-,-,-,-,-,-
2020-21,Ty-Shon Alexander,SG,11.33,2.47,3.26,28,33,-
2020-21,Udoka Azubuike,C,11.82,3.61,3.23,37,41,-
2020-21,Tyler Bey,PF,11.35,2.75,3.17,37,43.5,-
2020-21,Yoeli Childs,PF,10.87,2.42,3.22,34,38.5,-
2020-21,Mamadi Diakite,PF,11.95,2.71,3.16,28,37,-
2020-21,Devon Dotson,PG,10.44,2.22,3.02,31.5,40.5,-
2020-21,Paul Eboua,SF-PF,10.79,2.44,3.19,33,35.5,-
2020-21,CJ Elleby,SG-SF,11.25,2.63,3.25,30.5,36.5,-
2020-21,Trent Forrest,PG,11.04,2.5,3.18,28,34.5,-
2020-21,Josh Green,SG-SF,10.64,2.28,3.12,30.5,39.5,-
2020-21,Ashton Hagans,PG,10.82,2.5,3.13,29.5,36.5,-
2020-21,Joshua Hall,SF,12.16,2.62,3.38,31.5,37.5,-
2020-21,Jalen Harris,SG,10.59,2.49,3.11,37.5,42.5,-
2020-21,Markus Howard,PG,11.21,3.17,3.11,30.5,35.5,-
2020-21,Elijah Hughes,SF-SG,-,-,-,-,-,-
2020-21,Isaiah Joe,SG,-,-,-,-,-,-
2020-21,Mason Jones,SG,10.6,2.49,3.33,24,31,-
2020-21,Nathan Knight,PF-C,11.56,2.96,3.31,23,31.5,-
2020-21,Theo Maledon,PG,-,-,-,-,-,-
2020-21,Karim Mane,PG-SG,11.52,2.64,3.04,31,36,-
2020-21,Naji Marshall,SF,11.77,2.9,3.37,28.5,35,-
2020-21,Kenyon Martin Jr.,SF-PF,11.93,2.58,3.16,31.5,38.5,-
2020-21,Skylar Mays,SG,10.65,2.4,3.3,29,37.5,-
2020-21,Zeke Nnaji,PF-C,10.94,2.72,3.2,33,38,-
2020-21,Jordan Nwora,SF-PF,11.29,2.66,3.43,29,35,-
2020-21,Reggie Perry,PF-C,11.26,2.57,3.25,30,33.5,-
2020-21,Myles Powell,PG-SG,-,-,-,-,-,-
2020-21,Immanuel Quickley,SG,11.21,2.46,3.17,29.5,35.5,-
2020-21,Jahmi'us Ramsey,SG,-,-,-,-,-,-
2020-21,Paul Reed Jr.,PF,12.29,2.67,3.45,26.5,37.5,-
2020-21,Nick Richards,C,11.42,2.92,3.25,30,34,-
2020-21,Grant Riller,PG-SG,11.17,2.45,3.07,32.5,39.5,-
2020-21,Jayden Scrubb,SG-SF,-,-,-,-,-,-
2020-21,Jalen Smith,PF-C,-,-,-,-,-,-
2020-21,Cassius Stanley,SG,11.4,2.43,3.09,34.5,44,-
2020-21,Lamar Stevens,SF-PF,10.35,2.54,3.2,35,41,-
2020-21,Isaiah Stewart,C,-,-,-,-,-,-
2020-21,Tyrell Terry,PG,10.78,2.59,3.28,30,34,-
2020-21,Killian Tillie,PF,11.6,2.62,3.4,27.5,32,-
2020-21,Xavier Tillman Sr.,PF-C,11.8,3.01,3.49,26,32.5,-
2020-21,Kaleb Wesson,C,11.73,2.64,3.6,21.5,27,-
2020-21,Kahlil Whitney,SF,11.17,2.61,3.28,29,39,-
2020-21,Cassius Winston,PG,11.15,2.74,3.61,24,28,-
2020-21,Robert Woodard II,SF,11.1,2.49,3.18,32,38,-
2019-20,Nickeil Alexander-Walker,SG,-,-,-,-,-,-
2019-20,RJ Barrett,SF,-,-,-,-,-,-
2019-20,Charles Bassey,C,12.65,3.27,3.53,29,33,7
2019-20,Darius Bazley,PF,11.09,2.95,3.27,30.5,37,4
2019-20,Bol Bol,C,-,-,-,-,-,-
2019-20,Jordan Bone,SG,9.97,2.78,3.08,36,42.5,7
2019-20,Brian Bowen II,SF,10.98,3.21,3.26,32,35.5,1
2019-20,Ky Bowman,PG,11.11,3.11,3.26,27.5,33,4
2019-20,Ignas Brazdeikis,SF,11.06,3.17,3.36,31,36.5,13
2019-20,O'Shae Brissett,SF-PF,11.3,3.18,3.48,34,37.5,11
2019-20,Moses Brown,C,11.95,3.3,3.51,27,31,-
2019-20,Brandon Clarke,SF,10.61,3.05,3.15,34,40.5,10
2019-20,Nicolas Claxton,C,11.26,3.47,3.36,31.5,36.5,8
2019-20,Tyler Cook,PF,11.32,3.1,3.28,27.5,32,11
2019-20,Jarrett Culver,SG,-,-,-,-,-,-
2019-20,Terence Davis,SG,10.69,2.96,3.28,29.5,34,13
2019-20,Luguentz Dort,PG,10.79,3.13,3.22,32.5,38,14
2019-20,Devon Dotson,PG,10.63,2.8,3.04,30,38.5,7
2019-20,Carsen Edwards,PG,10.53,2.82,3.22,28.5,34,14
2019-20,Tacko Fall,C,13.01,3.46,3.78,22,26.5,8
2019-20,Bruno Fernando,C,11.29,3.05,3.21,29.5,33.5,13
2019-20,Daniel Gafford,PF,11.61,3.19,3.25,32.5,36.5,5
2019-20,Darius Garland,PG,-,-,-,-,-,-
2019-20,Quentin Grimes,SG,10.83,3.28,3.2,27.5,36,6
2019-20,Kyle Guy,SG,10.48,3.07,3.27,30.5,36.5,4
2019-20,Jaylen Hands,PG,10.73,3.03,3.12,33,41.5,6
2019-20,Jared Harper,PG,10.77,3.02,3.04,33.5,40.5,8
2019-20,Jaxson Hayes,PF,11.74,3.23,3.37,27,34.5,5
