Player,Team,Affiliation,Year,Round Number,Round Pick,Overall Pick
Anthony Edwards ,Minnesota Timberwolves,Georgia,2020,1,1,1
James Wiseman ,Golden State Warriors,Memphis,2020,1,2,2
LaMelo Ball ,Charlotte Hornets,Illawarra (Australia),2020,1,3,3
Patrick Williams ,Chicago Bulls,Florida State,2020,1,4,4
Isaac Okoro ,Cleveland Cavaliers,Auburn,2020,1,5,5
Onyeka Okongwu ,Atlanta Hawks,Southern California,2020,1,6,6
Killian Hayes ,Detroit Pistons,Ratiopharm Ulm (Germany),2020,1,7,7
Obi Toppin ,New York Knicks,Dayton,2020,1,8,8
Deni Avdija ,Washington Wizards,Maccabi Tel Aviv B.C. (Israel),2020,1,9,9
Jalen Smith ,Phoenix Suns,Maryland,2020,1,10,10
Devin Vassell ,San Antonio Spurs,Florida State,2020,1,11,11
Tyrese Haliburton ,Sacramento Kings,Iowa State,2020,1,12,12
Kira Lewis Jr. ,New Orleans Pelicans,Alabama,2020,1,13,13
Aaron Nesmith ,Boston Celtics,Vanderbilt,2020,1,14,14
Cole Anthony ,Orlando Magic,North Carolina,2020,1,15,15
Isaiah Stewart ,Portland Trail Blazers,Washington,2020,1,16,16
Aleksej Pokusevski ,Minnesota Timberwolves,Olympiacos B.C. (Greece),2020,1,17,17
Josh Green ,Dallas Mavericks,Arizona,2020,1,18,18
Saddiq Bey ,Brooklyn Nets,Villanova,2020,1,19,19
Precious Achiuwa ,Miami Heat,Memphis,2020,1,20,20
Tyrese Maxey ,Philadelphia 76ers,Kentucky,2020,1,21,21
Zeke Nnaji ,Denver Nuggets,Arizona,2020,1,22,22
Leandro Bolmaro,New York Knicks,FC Barcelona Basquet (Spain),2020,1,23,23
R.J. Hampton ,Milwaukee Bucks,Breakers (New Zealand),2020,1,24,24
Immanuel Quickley ,Oklahoma City Thunder,Kentucky,2020,1,25,25
Payton Pritchard ,Boston Celtics,Oregon,2020,1,26,26
Udoka Azubuike ,Utah Jazz,Kansas,2020,1,27,27
Jaden McDaniels ,Los Angeles Lakers,Washington,2020,1,28,28
Malachi Flynn ,Toronto Raptors,San Diego State,2020,1,29,29
Desmond Bane ,Boston Celtics,Texas Christian,2020,1,30,30
Tyrell Terry ,Dallas Mavericks,Stanford,2020,2,1,31
Vernon Carey Jr. ,Charlotte Hornets,Duke,2020,2,2,32
Daniel Oturu ,Minnesota Timberwolves,Minnesota,2020,2,3,33
Theo Maledon ,Philadelphia 76ers,ASVEL Basket (France),2020,2,4,34
Xavier Tillman ,Sacramento Kings,Michigan State,2020,2,5,35
Tyler Bey ,Philadelphia 76ers,Colorado,2020,2,6,36
Vit Krejci,Washington Wizards,Basket Zaragoza 2002 (Spain),2020,2,7,37
Saben Lee ,Utah Jazz,Vanderbilt,2020,2,8,38
Elijah Hughes ,New Orleans Pelicans,Syracuse,2020,2,9,39
Robert Woodard II ,Memphis Grizzlies,Mississippi State,2020,2,10,40
Tre Jones ,San Antonio Spurs,Duke,2020,2,11,41
Nick Richards ,New Orleans Pelicans,Kentucky,2020,2,12,42
Jahmi'us Ramsey ,Sacramento Kings,Texas Tech,2020,2,13,43
Marko Simonovic,Chicago Bulls,KK Mega Leks (Serbia),2020,2,14,44
Jordan Nwora ,Milwaukee Bucks,Louisville,2020,2,15,45
CJ Elleby ,Portland Trail Blazers,Washington State,2020,2,16,46
Yam Madar,Boston Celtics,Hapoel Galil Elyon (Israel),2020,2,17,47
Nico Mannion ,Golden State Warriors,Arizona,2020,2,18,48
Isaiah Joe ,Philadelphia 76ers,Arkansas,2020,2,19,49
Skylar Mays ,Atlanta Hawks,Louisiana State,2020,2,20,50
Justinian Jessup,Golden State Warriors,Boise State,2020,2,21,51
Kenyon Martin Jr. ,Sacramento Kings,IMG Academy,2020,2,22,52
Cassius Winston ,Oklahoma City Thunder,Michigan State,2020,2,23,53
Cassius Stanley ,Indiana Pacers,Duke,2020,2,24,54
Jay Scrubb ,Brooklyn Nets,John A. Logan,2020,2,25,55
Grant Riller ,Charlotte Hornets,College of Charleston,2020,2,26,56
Reggie Perry ,LA Clippers,Mississippi State,2020,2,27,57
Paul Reed ,Philadelphia 76ers,DePaul,2020,2,28,58
Jalen Harris ,Toronto Raptors,Nevada-Reno,2020,2,29,59
Sam Merrill ,New Orleans Pelicans,Utah State,2020,2,30,60
Zion Williamson ,New Orleans Pelicans,Duke,2019,1,1,1
Ja Morant ,Memphis Grizzlies,Murray State,2019,1,2,2
RJ Barrett ,New York Knicks,Duke,2019,1,3,3
De'Andre Hunter ,Los Angeles Lakers,Virginia,2019,1,4,4
Darius Garland ,Cleveland Cavaliers,Vanderbilt,2019,1,5,5
Jarrett Culver ,Phoenix Suns,Texas Tech,2019,1,6,6
Coby White ,Chicago Bulls,North Carolina,2019,1,7,7
Jaxson Hayes ,Atlanta Hawks,Texas,2019,1,8,8
Rui Hachimura ,Washington Wizards,Gonzaga,2019,1,9,9
Cam Reddish ,Atlanta Hawks,Duke,2019,1,10,10
Cameron Johnson ,Minnesota Timberwolves,North Carolina,2019,1,11,11
P.J. Washington ,Charlotte Hornets,Kentucky,2019,1,12,12
Tyler Herro ,Miami Heat,Kentucky,2019,1,13,13
Romeo Langford ,Boston Celtics,Indiana,2019,1,14,14
Sekou Doumbouya ,Detroit Pistons,Limoges CSP (France),2019,1,15,15
Chuma Okeke ,Orlando Magic,Auburn,2019,1,16,16
Nickeil Alexander-Walker ,Brooklyn Nets,Virginia Tech,2019,1,17,17
Goga Bitadze ,Indiana Pacers,KK Mega Leks (Serbia),2019,1,18,18
Luka Samanic ,San Antonio Spurs,KK Olimpija (Slovenia),2019,1,19,19
Matisse Thybulle ,Boston Celtics,Washington,2019,1,20,20
Brandon Clarke ,Oklahoma City Thunder,Gonzaga,2019,1,21,21
Grant Williams ,Boston Celtics,Tennessee,2019,1,22,22
Darius Bazley ,Utah Jazz,Princeton,2019,1,23,23
Ty Jerome ,Philadelphia 76ers,Virginia,2019,1,24,24
Nassir Little ,Portland Trail Blazers,North Carolina,2019,1,25,25
Dylan Windler ,Cleveland Cavaliers,Belmont,2019,1,26,26
Mfiondu Kabengele ,Brooklyn Nets,Florida State,2019,1,27,27
Jordan Poole ,Golden State Warriors,Michigan,2019,1,28,28
Keldon Johnson ,San Antonio Spurs,Kentucky,2019,1,29,29
Kevin Porter Jr. ,Milwaukee Bucks,Southern California,2019,1,30,30
Nicolas Claxton ,Brooklyn Nets,Georgia,2019,2,1,31
KZ Okpala ,Phoenix Suns,Stanford,2019,2,2,32
Carsen Edwards ,Philadelphia 76ers,Purdue,2019,2,3,33
Bruno Fernando ,Philadelphia 76ers,Maryland,2019,2,4,34
Marcos Louzada Silva ,Atlanta Hawks,Sesi Franca (Brazil),2019,2,5,35
Cody Martin ,Charlotte Hornets,North Carolina State,2019,2,6,36
Deividas Sirvydis ,Dallas Mavericks,BC Lietuvos rytas (Lithuania),2019,2,7,37
Daniel Gafford ,Chicago Bulls,Arkansas,2019,2,8,38
Alen Smailagic ,New Orleans Pelicans,Santa Cruz (G League),2019,2,9,39
Justin James ,Sacramento Kings,Wyoming,2019,2,10,40
Eric Paschall ,Golden State Warriors,Villanova,2019,2,11,41
Admiral Schofield ,Philadelphia 76ers,Tennessee,2019,2,12,42
Jaylen Nowell ,Minnesota Timberwolves,Washington,2019,2,13,43
Bol Bol ,Miami Heat,Oregon,2019,2,14,44
Isaiah Roby ,Detroit Pistons,Nebraska,2019,2,15,45
Talen Horton-Tucker ,Orlando Magic,Iowa State,2019,2,16,46
Ignas Brazdeikis ,Sacramento Kings,Michigan,2019,2,17,47
Terance Mann ,LA Clippers,Florida State,2019,2,18,48
Quinndary Weatherspoon ,San Antonio Spurs,Mississippi State,2019,2,19,49
Jarrell Brantley ,Indiana Pacers,College of Charleston,2019,2,20,50
Tremont Waters ,Boston Celtics,Louisiana State,2019,2,21,51
Jalen McDaniels ,Charlotte Hornets,San Diego,2019,2,22,52
Justin Wright-Foreman ,Utah Jazz,Hofstra,2019,2,23,53
Marial Shayok ,Philadelphia 76ers,Virginia,2019,2,24,54
Kyle Guy ,New York Knicks,Virginia,2019,2,25,55
Jaylen Hands,LA Clippers,California-Los Angeles,2019,2,26,56
Jordan Bone ,New Orleans Pelicans,Tennessee,2019,2,27,57
Miye Oni ,Golden State Warriors,Yale,2019,2,28,58
Dewan Hernandez ,Toronto Raptors,Miami (FL),2019,2,29,59
Vanja Marinkovic,Sacramento Kings,KK Partizan (Serbia),2019,2,30,60
Deandre Ayton ,Phoenix Suns,Arizona,2018,1,1,1
Marvin Bagley III ,Sacramento Kings,Duke,2018,1,2,2
Luka Doncic ,Atlanta Hawks,Real Madrid Baloncesto (Spain),2018,1,3,3
Jaren Jackson Jr. ,Memphis Grizzlies,Michigan State,2018,1,4,4
Trae Young ,Dallas Mavericks,Oklahoma,2018,1,5,5
Mo Bamba ,Orlando Magic,Texas,2018,1,6,6
Wendell Carter Jr. ,Chicago Bulls,West Virginia,2018,1,7,7
Collin Sexton ,Cleveland Cavaliers,Alabama,2018,1,8,8
Kevin Knox II ,New York Knicks,Kentucky,2018,1,9,9
Mikal Bridges ,Philadelphia 76ers,Villanova,2018,1,10,10
Shai Gilgeous-Alexander ,Charlotte Hornets,Kentucky,2018,1,11,11
Miles Bridges ,LA Clippers,Michigan State,2018,1,12,12
Jerome Robinson ,LA Clippers,Boston College,2018,1,13,13
Michael Porter Jr. ,Denver Nuggets,Missouri,2018,1,14,14
Troy Brown Jr. ,Washington Wizards,Oregon,2018,1,15,15
Zhaire Smith ,Phoenix Suns,Texas Tech,2018,1,16,16
Donte DiVincenzo ,Milwaukee Bucks,Villanova,2018,1,17,17
Lonnie Walker IV ,San Antonio Spurs,Miami (FL),2018,1,18,18
Kevin Huerter ,Atlanta Hawks,Maryland,2018,1,19,19
Josh Okogie ,Minnesota Timberwolves,Georgia Tech,2018,1,20,20
Grayson Allen ,Utah Jazz,Duke,2018,1,21,21
Chandler Hutchison ,Chicago Bulls,Boise State,2018,1,22,22
Aaron Holiday ,Indiana Pacers,California-Los Angeles,2018,1,23,23
Anfernee Simons ,Portland Trail Blazers,IMG Academy,2018,1,24,24
Moritz Wagner ,Los Angeles Lakers,Michigan,2018,1,25,25
Landry Shamet ,Philadelphia 76ers,Wichita State,2018,1,26,26
Robert Williams III ,Boston Celtics,Texas A&M,2018,1,27,27
Jacob Evans ,Golden State Warriors,Cincinnati,2018,1,28,28
Dzanan Musa ,Brooklyn Nets,KK Cedevita (Croatia),2018,1,29,29
Omari Spellman ,Atlanta Hawks,Villanova,2018,1,30,30
Elie Okobo ,Phoenix Suns,Elan Bearnais Pau-Orthez (France),2018,2,1,31
Jevon Carter ,Memphis Grizzlies,West Virginia,2018,2,2,32
Jalen Brunson ,Dallas Mavericks,Villanova,2018,2,3,33
Devonte' Graham ,Atlanta Hawks,Kansas,2018,2,4,34
Melvin Frazier Jr. ,Orlando Magic,Tulane,2018,2,5,35
Mitchell Robinson ,New York Knicks,,2018,2,6,36
Gary Trent Jr. ,Sacramento Kings,Duke,2018,2,7,37
Khyri Thomas ,Philadelphia 76ers,Creighton,2018,2,8,38
Isaac Bonga ,Philadelphia 76ers,Fraport Skyliners (Germany),2018,2,9,39
Rodions Kurucs ,Brooklyn Nets,FC Barcelona Basquet (Spain),2018,2,10,40
Jarred Vanderbilt ,Orlando Magic,Kentucky,2018,2,11,41
Bruce Brown ,Detroit Pistons,Miami (FL),2018,2,12,42
Justin Jackson,Denver Nuggets,Maryland,2018,2,13,43
Issuf Sanon,Washington Wizards,KK Olimpija (Slovenia),2018,2,14,44
Hamidou Diallo ,Brooklyn Nets,Kentucky,2018,2,15,45
De'Anthony Melton ,Houston Rockets,Southern California,2018,2,16,46
Svi Mykhailiuk ,Los Angeles Lakers,Kansas,2018,2,17,47
Keita Bates-Diop ,Minnesota Timberwolves,Ohio State,2018,2,18,48
Chimezie Metu ,Milwaukee Bucks,Southern California,2018,2,19,49
Alize Johnson ,Indiana Pacers,Missouri State,2018,2,20,50
Tony Carr,New Orleans Pelicans,Penn State,2018,2,21,51
Vincent Edwards ,Utah Jazz,Purdue,2018,2,22,52
Devon Hall ,Oklahoma City Thunder,Virginia,2018,2,23,53
Shake Milton ,Dallas Mavericks,Southern Methodist,2018,2,24,54
Arnoldas Kulboka,Charlotte Hornets,Brose Bamberg (Germany),2018,2,25,55
Ray Spalding ,Philadelphia 76ers,Louisville,2018,2,26,56
Kevin Hervey ,Oklahoma City Thunder,Texas-Arlington,2018,2,27,57
Thomas Welsh ,Denver Nuggets,California-Los Angeles,2018,2,28,58
George King ,Phoenix Suns,Colorado,2018,2,29,59
Kostas Antetokounmpo ,Philadelphia 76ers,Dayton,2018,2,30,60
Markelle Fultz ,Philadelphia 76ers,Washington,2017,1,1,1
Lonzo Ball ,Los Angeles Lakers,California-Los Angeles,2017,1,2,2
Jayson Tatum ,Boston Celtics,Duke,2017,1,3,3
Josh Jackson ,Phoenix Suns,Kansas,2017,1,4,4
De'Aaron Fox ,Sacramento Kings,Kentucky,2017,1,5,5
Jonathan Isaac ,Orlando Magic,Florida State,2017,1,6,6
Lauri Markkanen ,Minnesota Timberwolves,Arizona,2017,1,7,7
Frank Ntilikina ,New York Knicks,SIG Strasbourg (France),2017,1,8,8
