,rallyid,frameid,strokeid,hitter,receiver,isserve,serve,type,stroke,hitter_x,hitter_y,receiver_x,receiver_y,time
0,1,70877,1,Djokovic,Nadal,True,first,serve,forehand,6.5,-0.24,1.03,27.44,0.0
1,1,70900,2,Nadal,Djokovic,False,first,slice,backhand,0.05,25.59,6.17,1.11,0.92
2,1,70950,3,Djokovic,Nadal,False,first,topspin,forehand,1.42,2.33,4.75,26.45,2.9200000000000004
3,2,71488,1,Djokovic,Nadal,True,first,serve,forehand,4.48,-0.01,7.9,26.83,24.44
4,3,71796,1,Djokovic,Nadal,True,second,serve,forehand,4.48,-0.37,7.88,26.47,36.760000000000005
5,3,71820,2,Nadal,Djokovic,False,second,slice,forehand,7.4,24.79,4.47,0.19,37.72
6,3,71860,3,Djokovic,Nadal,False,second,topspin,backhand,1.66,0.43,6.12,25.84,39.32
7,3,71900,4,Nadal,Djokovic,False,second,topspin,forehand,8.14,27.07,3.12,-0.94,40.92
8,4,72470,1,Djokovic,Nadal,True,first,serve,forehand,6.44,-0.27,0.96,26.71,63.720000000000006
9,5,72790,1,Djokovic,Nadal,True,second,serve,forehand,6.17,-0.22,0.54,27.32,76.52000000000001
10,5,72800,2,Djokovic,Nadal,True,second,serve,forehand,6.43,-0.1,0.93,27.08,76.92
11,6,73280,1,Djokovic,Nadal,True,first,serve,forehand,4.45,-0.25,7.81,28.35,96.12
12,6,73300,2,Nadal,Djokovic,False,first,topspin,forehand,8.84,27.57,4.47,1.26,96.92
13,6,73330,3,Djokovic,Nadal,False,first,topspin,backhand,1.57,1.37,8.12,26.94,98.12
14,6,73360,4,Nadal,Djokovic,False,first,topspin,forehand,8.96,26.45,1.66,1.41,99.32000000000001
15,6,73390,5,Djokovic,Nadal,False,first,topspin,forehand,3.11,-0.08,7.66,26.09,100.52000000000001
16,6,73420,6,Nadal,Djokovic,False,first,topspin,forehand,7.35,25.14,3.55,-0.94,101.72000000000001
17,6,73440,7,Djokovic,Nadal,False,first,topspin,backhand,3.25,-0.08,6.42,25.37,102.52000000000001
18,6,73480,8,Nadal,Djokovic,False,first,topspin,forehand,8.38,28.74,3.86,-1.16,104.12
19,6,73510,9,Djokovic,Nadal,False,first,topspin,backhand,1.11,-0.62,7.12,26.33,105.32000000000001
20,6,73540,10,Nadal,Djokovic,False,first,slice,backhand,3.03,27.07,2.05,-0.71,106.52000000000001
21,7,75561,1,Nadal,Djokovic,True,first,serve,forehand,5.5,-0.17,1.66,26.12,187.36
22,8,75885,1,Nadal,Djokovic,True,second,serve,forehand,5.48,-0.4,1.64,23.86,200.32000000000002
23,8,75905,2,Djokovic,Nadal,False,first,return,backhand,3.82,24.33,5.83,1.29,201.12
24,8,75935,3,Nadal,Djokovic,False,first,topspin,forehand,5.49,-0.32,5.26,25.26,202.32000000000002
25,8,75965,4,Djokovic,Nadal,False,first,topspin,backhand,7.78,25.14,4.38,-1.38,203.52
26,8,76005,5,Nadal,Djokovic,False,first,topspin,backhand,7.8,-1.16,4.7,26.94,205.12
27,8,76035,6,Djokovic,Nadal,False,first,topspin,forehand,1.54,25.97,6.76,-1.16,206.32000000000002
28,8,76065,7,Nadal,Djokovic,False,first,topspin,forehand,2.72,-1.83,4.42,25.61,207.52
29,9,76822,1,Nadal,Djokovic,True,first,serve,forehand,4.22,-0.27,8.63,25.76,237.8
30,9,76845,2,Djokovic,Nadal,False,first,return,forehand,6.84,25.49,5.51,1.11,238.72000000000003
31,9,76865,3,Nadal,Djokovic,False,first,topspin,forehand,6.5,-0.42,5.32,26.45,239.52
32,9,76905,4,Djokovic,Nadal,False,first,topspin,forehand,2.05,28.08,6.49,-1.47,241.12
33,9,76935,5,Nadal,Djokovic,False,first,topspin,forehand,2.53,-1.53,4.23,27.07,242.32000000000002
