,rallyid,server,returner,winner,reason,serve,strokes,totaltime,x,y,score
0,1,Djokovic,Nadal,Djokovic,winner,first,3,0.92,1.92,21.96,"0:0, 15:0"
2,3,Djokovic,Nadal,Djokovic,out,second,4,4.159999999999997,3.33,-0.39,"0:0, 30:0"
4,5,Djokovic,Nadal,Djokovic,ace,second,2,0.3999999999999915,1.62,17.18,"0:0, 40:0"
5,6,Djokovic,Nadal,Djokovic,net,first,10,10.400000000000006,6.41,12.78,"1:0, 0:0"
7,8,Nadal,Djokovic,Djokovic,out,second,7,7.199999999999989,0.5,18.67,"1:0, 15:0"
8,9,Nadal,Djokovic,Djokovic,winner,first,12,0.9200000000000159,3.65,9.5,"1:0, 30:0"
10,11,Nadal,Djokovic,Nadal,winner,first,4,1.079999999999984,7.34,18.76,"1:0, 30:15"
12,13,Nadal,Djokovic,Djokovic,net,second,13,13.599999999999966,4.01,11.37,"1:0, 40:15"
13,14,Nadal,Djokovic,Djokovic,out,first,3,2.6399999999999864,1.07,25.85,"2:0, 0:0"
14,15,Djokovic,Nadal,Djokovic,out,first,2,0.8000000000000114,4.39,27.45,"2:0, 15:0"
16,17,Djokovic,Nadal,Djokovic,out,first,4,4.0,5.45,30.23,"2:0, 30:0"
17,18,Djokovic,Nadal,Djokovic,out,first,6,6.399999999999977,8.55,22.48,"2:0, 40:0"
18,19,Djokovic,Nadal,Djokovic,ace,first,1,0.0,1.62,10.23,"3:0, 0:0"
19,20,Nadal,Djokovic,Djokovic,winner,first,12,12.920000000000073,0.53,21.45,"3:0, 15:0"
21,22,Nadal,Djokovic,Nadal,out,second,2,0.7599999999999909,4.77,24.68,"3:0, 15:15"
23,24,Nadal,Djokovic,Djokovic,winner,first,4,0.7199999999999136,7.3,22.58,"3:0, 30:15"
24,25,Nadal,Djokovic,Nadal,winner,first,3,2.519999999999982,8.4,3.22,"3:0, 30:30"
25,26,Nadal,Djokovic,Djokovic,out,first,7,6.240000000000009,9.0,4.04,"3:0, 40:30"
27,28,Nadal,Djokovic,Nadal,out,first,2,0.8400000000000318,8.34,24.45,"3:0, 40:40"
28,29,Nadal,,Nadal,out,first,2,0.7999999999999545,2.27,24.56,"3:0, 40:Ad"
29,30,Nadal,Djokovic,Nadal,out,first,4,3.3999999999999773,0.88,8.57,"3:1, 0:0"
30,31,Djokovic,Nadal,Djokovic,ace,first,1,0.0,4.63,16.1,"3:1, 15:0"
31,32,Djokovic,__undefined__,Djokovic,net,first,6,7.319999999999936,1.78,12.85,"3:1, 30:0"
32,33,Djokovic,Nadal,Djokovic,ace,first,1,0.0,4.23,18.13,"3:1, 40:0"
33,34,Djokovic,Nadal,Djokovic,winner,first,5,0.7200000000000273,7.33,20.36,"4:1, 0:0"
35,36,Nadal,Djokovic,Djokovic,out,second,3,2.160000000000082,0.2,23.01,"4:1, 15:0"
36,37,Nadal,Djokovic,Nadal,net,first,2,0.8400000000001455,7.47,17.52,"4:1, 15:15"
37,38,Nadal,Djokovic,Nadal,winner,first,3,3.1200000000001182,3.19,16.26,"4:1, 15:30"
39,40,Nadal,Djokovic,Djokovic,out,second,11,11.920000000000073,8.45,24.56,"4:1, 30:30"
41,42,Nadal,Djokovic,Nadal,net,second,6,7.160000000000082,2.88,12.72,"4:1, 30:40"
42,43,Nadal,Djokovic,Nadal,out,first,2,0.7599999999999909,4.55,-0.62,"4:2, 0:0"
43,44,Djokovic,Nadal,Djokovic,net,first,8,1.0,8.38,13.42,"4:2, 15:0"
45,46,Djokovic,Nadal,Djokovic,out,second,14,16.7199999999998,0.61,23.77,"4:2, 30:0"
47,48,Djokovic,Nadal,Djokovic,winner,second,4,3.4400000000000546,1.0,-3.57,"4:2, 40:0"
48,49,Djokovic,Nadal,Djokovic,winner,first,3,1.9600000000000364,8.16,4.3,"5:2, 0:0"
50,51,Nadal,Djokovic,Nadal,winner,second,7,7.079999999999927,8.4,0.61,"5:2, 0:15"
53,54,Nadal,Djokovic,Nadal,net,second,16,17.3599999999999,6.12,12.72,"5:2, 0:30"
55,56,Nadal,Djokovic,Nadal,net,second,4,0.7999999999999545,6.62,12.17,"5:2, 0:40"
56,57,Nadal,Djokovic,Nadal,winner,first,3,2.3600000000001273,8.34,1.15,"5:3, 0:0"
58,59,Djokovic,Nadal,Nadal,net,second,11,12.240000000000009,6.8,11.11,"5:3, 0:15"
59,60,Djokovic,Nadal,Djokovic,out,first,6,6.759999999999991,9.07,1.33,"5:3, 15:15"
61,62,Djokovic,Nadal,Djokovic,winner,second,11,12.639999999000338,0.78,20.16,"5:3, 30:15"
