,rallyid,server,returner,winner,reason,serve,strokes,totaltime,x,y
0,1,Djokovic,Nadal,Djokovic,winner,first,3,0.92,1.92,21.96
1,2,Djokovic,Nadal,__undefined__,second_serve,first,1,0.0,7.42,12.1
2,3,Djokovic,Nadal,Djokovic,out,second,4,4.159999999999997,3.33,-0.39
3,4,Djokovic,Nadal,__undefined__,second_serve,first,1,0.0,4.64,17.69
4,5,Djokovic,Nadal,Djokovic,ace,second,2,0.3999999999999915,1.62,17.18
5,6,Djokovic,Nadal,Djokovic,net,first,10,10.400000000000006,6.41,12.78
6,7,Nadal,Djokovic,__undefined__,second_serve,first,1,0.0,4.48,12.04
7,8,Nadal,Djokovic,Djokovic,out,second,7,7.199999999999989,0.5,18.67
8,9,Nadal,Djokovic,Djokovic,winner,first,12,0.9200000000000159,3.65,9.5
9,10,Nadal,Djokovic,__undefined__,let,first,1,0.0,2.9,14.68
10,11,Nadal,Djokovic,Nadal,winner,first,4,1.079999999999984,7.34,18.76
11,12,Nadal,,__undefined__,second_serve,first,1,0.0,5.69,7.96
12,13,Nadal,Djokovic,Djokovic,net,second,13,13.599999999999966,4.01,11.37
13,14,Nadal,Djokovic,Djokovic,out,first,3,2.6399999999999864,1.07,25.85
14,15,Djokovic,Nadal,Djokovic,out,first,2,0.8000000000000114,4.39,27.45
15,16,Djokovic,Nadal,__undefined__,second_serve,first,1,0.0,1.73,8.33
16,17,Djokovic,Nadal,Djokovic,out,first,4,4.0,5.45,30.23
17,18,Djokovic,Nadal,Djokovic,out,first,6,6.399999999999977,8.55,22.48
18,19,Djokovic,Nadal,Djokovic,ace,first,1,0.0,1.62,10.23
19,20,Nadal,Djokovic,Djokovic,winner,first,12,12.920000000000073,0.53,21.45
20,21,Nadal,,__undefined__,second_serve,first,1,0.0,2.54,6.34
21,22,Nadal,Djokovic,Nadal,out,second,2,0.7599999999999909,4.77,24.68
22,23,Nadal,Djokovic,__undefined__,let,first,2,0.8399999999999181,1.37,11.5
