time,mouse_movement,mouse_clicks
0.0,0.0,7.0
1.0,154.01201043363693,5.5
2.0,1574.9601107866633,2.75
3.0,1212.073274958024,1.375
4.0,615.036637479012,0.6875
5.0,307.518318739506,0.125
6.0,738.8356460939967,0.0
7.0,815.8494189944321,0.0
8.0,885.6055104791415,0.0
9.0,493.9936411945703,0.0
10.0,246.99682059728514,0.0
11.0,1775.8307950090248,1.0
12.0,2874.7386200871742,3.5
13.0,2616.6506336218854,5.75
14.0,2754.6200607032115,4.875
15.0,4099.622520170505,4.4375
16.0,3428.9722894959823,3.1875
17.0,2970.9746535930117,6.5
18.0,3041.9601027565514,6.125
19.0,2659.4454938978974,8.0
20.0,2108.7917141113376,7.9375
21.0,1930.5106507458574,5.9375
22.0,1785.355204721721,6.8125
23.0,1383.2652225897475,4.3125
24.0,1884.9448487573036,6.0
25.0,1315.358594085259,5.875
26.0,1079.5063600268782,7.875
27.0,1088.6715123939937,8.8125
28.0,1247.7837057965974,7.375
29.0,2897.4104306364934,4.5625
30.0,3322.245956682158,2.1875
31.0,5512.0149303768985,2.9375
32.0,3949.7366133057803,5.3125
33.0,2015.4288975056081,4.5625
34.0,1167.4443267382453,3.25
35.0,680.535525849291,3.625
36.0,1290.5594001025631,1.75
37.0,693.1346750511157,0.75
38.0,1352.8960549358678,1.3125
39.0,1128.9449521351098,0.625
40.0,1597.4963368658664,3.25
41.0,2473.2903642218807,4.625
42.0,4946.313481318196,3.3125
43.0,6097.886535911901,2.625
44.0,5481.041026735058,5.3125
45.0,4379.609587629993,3.5625
46.0,3495.6440115665964,1.6875
47.0,2376.3875759004563,4.8125
48.0,1647.1947556091236,6.375
49.0,1084.4203848231323,6.0625
50.0,1177.5370055011178,7.0
51.0,1949.9918817600749,5.5
52.0,2196.0283115014104,5.625
53.0,2477.5826385081973,6.6875
54.0,1608.2423685546428,4.25
55.0,1613.559786858761,2.0
56.0,2252.320909285142,0.9375
57.0,1314.3712421996727,0.375
58.0,776.9929919815797,1.0625
59.0,715.8750766471895,3.5
60.0,706.1928927732483,3.75
61.0,485.8749655076326,4.875
62.0,532.3583854670078,4.4375
63.0,1162.3387293737526,3.1875
64.0,1698.3129404374827,5.5
65.0,1037.6063702088413,2.6875
66.0,550.4354257221946,1.25
67.0,1865.1933483610032,1.5625
68.0,2253.8299628512514,4.75
69.0,2428.758533229362,6.25
70.0,2230.1766278980754,5.125
71.0,2078.088233237257,5.5625
72.0,2255.396810690402,4.75
73.0,2516.3981784012162,5.25
74.0,2986.604744766655,4.5
75.0,3225.5325654722733,6.1875
76.0,1682.8722398882453,6.0
77.0,866.7005328099832,6.9375
78.0,752.2752475944528,8.375
79.0,1114.1048047080449,9.125
80.0,1981.1345775843024,7.4375
81.0,2212.323137710851,4.625
82.0,2242.632209683691,5.1875
83.0,3080.902106428457,5.4375
84.0,2523.30218193736,3.5625
85.0,2440.085797458388,5.6875
86.0,2872.738686907258,3.8125
87.0,3376.0401453963605,3.8125
88.0,1632.4278933316991,3.8125
89.0,929.3701536507698,1.875
90.0,2051.7262961253455,2.8125
91.0,3778.46844167546,1.375
92.0,2013.1579765325712,1.625
93.0,3419.450163193421,3.75
94.0,3465.2040720936757,2.875
95.0,2768.8802225666814,1.375
96.0,1453.3525047280052,0.6875
97.0,1470.3015725473067,0.3125
98.0,1140.279155584506,0.0625
99.0,989.926560968286,1.0
100.0,4950.707888124514,1.5
101.0,5130.035485945773,2.75
102.0,5236.100889993814,2.375
103.0,4373.285020897236,5.1875
104.0,3467.096885970642,5.5625
105.0,2874.469525122441,4.75
106.0,3486.0972813014087,5.3125
107.0,1944.4409454774902,2.625
108.0,938.9001183620725,2.1875
109.0,1823.7360407004903,4.0
110.0,1411.669934370063,2.9375
111.0,1930.7743475900513,5.375
112.0,2732.720989078294,3.6875
113.0,1442.6238391587658,2.8125
114.0,678.7255495827662,1.3125
115.0,322.49276898986176,0.625
116.0,184.88502277361346,0.1875
117.0,49.93442778872617,0.0625
118.0,64.79856797749979,4.0
119.0,39.36803398874989,4.0
