time,gsr
0.0,33936.07038668783
1.0,33834.94257897217
2.0,33808.697601803324
3.0,33808.09093934095
4.0,33954.53245720622
5.0,34065.200837527824
6.0,34151.334181541046
7.0,34358.566741960254
8.0,34533.654671591445
9.0,34568.764487556764
10.0,34529.25929667168
11.0,34541.41516822649
12.0,34408.454688252605
13.0,34214.40082686178
14.0,34272.45001457355
15.0,34429.49760650861
16.0,34380.17821374825
17.0,34430.93092592442
18.0,34449.69798502796
19.0,34551.99625904156
20.0,34671.3899931274
21.0,34803.99877321762
22.0,34877.27373802971
23.0,34953.56634203449
24.0,34999.333354050774
25.0,34956.78648893282
26.0,34881.90164399774
27.0,34661.819301096606
28.0,34514.773822791365
29.0,34550.16423633386
30.0,34601.194579768024
31.0,34635.93149524402
32.0,34543.638948353764
33.0,34347.35199770279
34.0,34196.69617510341
35.0,34153.37918149844
36.0,34225.13026006562
37.0,34213.71325742135
38.0,34331.91382008635
39.0,34476.79918683777
40.0,34640.7909128163
41.0,34601.743984450266
42.0,34399.23200116437
43.0,34158.871178725116
44.0,34117.27780906119
45.0,34123.11607196286
46.0,34275.53508428931
47.0,34533.61667442424
48.0,34681.29504977428
49.0,34735.93005485355
50.0,34797.595169632375
51.0,34783.45115994045
52.0,34873.1024860443
53.0,34868.81814150065
54.0,34895.50228186593
55.0,34885.203279984955
56.0,34792.22865172797
57.0,34903.32451031029
58.0,34832.43340611392
59.0,34872.64503990275
60.0,34578.26124513677
61.0,34504.37660431053
62.0,34499.40053269847
63.0,34466.49506090029
64.0,34317.37920097969
65.0,33779.41974465863
66.0,33513.40097889275
67.0,33381.113047144485
68.0,33108.07953426887
69.0,33113.93133330057
70.0,33173.640933289906
71.0,33073.54269861417
72.0,32976.947194131826
73.0,32908.59103714583
74.0,32888.32120206505
75.0,33011.37397828406
76.0,33088.425651140686
77.0,33116.74556977536
78.0,33052.91903465711
79.0,33049.61190754429
80.0,32615.709065088206
81.0,32294.290064255576
82.0,32344.270764555917
83.0,32415.8908571048
84.0,32465.707162743434
85.0,32464.187680449875
86.0,32310.108623323933
87.0,32268.61041512826
88.0,31976.778104154764
89.0,31254.58719401181
90.0,30826.743023361363
91.0,30749.723379613253
92.0,30848.98194471827
93.0,31056.555615120487
94.0,31220.456858893136
95.0,31229.997122765242
96.0,31313.998558200467
97.0,31362.3566288332
98.0,31477.335314830438
99.0,31362.311560735165
100.0,31419.697027097885
101.0,31398.00964218344
102.0,31413.65923917837
103.0,31396.937152117243
104.0,31407.098598891323
105.0,31404.018758344486
106.0,31261.747176430647
107.0,31345.11025035505
108.0,31381.484723692945
109.0,31411.753925471523
110.0,31491.134524985515
111.0,31582.441889734037
112.0,31685.03937060554
113.0,31698.05106521948
114.0,31661.250319707688
115.0,31586.709916618798
116.0,31406.405721825457
117.0,31402.756518179907
118.0,31311.379084725602
119.0,31350.468745640377
120.0,31284.074381361585
121.0,31086.213129940865
122.0,31085.590629311937
123.0,31171.025610126977
124.0,31256.486178623316
125.0,31317.128844424828
126.0,31349.334005823144
127.0,31415.384372969347
128.0,31367.150212981942
129.0,31416.76916131391
130.0,31343.418550176008
131.0,31410.42039498974
132.0,31513.164768424656
133.0,31622.630933672808
134.0,31510.48147915094
135.0,31312.97174523324
136.0,31289.55899396869
137.0,31229.18425630318
138.0,31164.44849722363
139.0,31164.205987897476
140.0,31101.233864118123
141.0,30868.3240751778
142.0,30914.501620234296
143.0,30992.209040513277
144.0,31202.22694286824
145.0,31429.494156909597
146.0,31542.877477637023
147.0,31612.04357741853
148.0,31701.013536717997
149.0,31714.548305700995
150.0,31769.190174741645
151.0,31735.63371845463
152.0,31441.591627728543
153.0,31182.664532106373
154.0,31060.305605135276
155.0,31073.601836131307
156.0,31000.41225974234
157.0,30978.985002837646
158.0,31006.19997198788
159.0,30996.630922608267
160.0,31093.185218044375
161.0,31122.574590615943
162.0,30628.17789645147
163.0,30208.040051943666
164.0,30103.48979626984
165.0,30089.724552321695
166.0,30229.384735112195
167.0,30393.6568535913
168.0,30623.352156686662
169.0,30604.158878925635
170.0,30581.709800743825
171.0,30728.76926261271
172.0,30762.30417343704
173.0,30889.150711070877
174.0,31030.433590332563
175.0,31092.93075590945
176.0,31138.069087807773
177.0,30970.464760273702
178.0,30591.42726837194
179.0,30413.62121635359
180.0,30194.516100402652
181.0,29969.106028772054
182.0,29158.971824289147
183.0,28667.747904945285
184.0,28398.551248002106
185.0,28311.841043350872
186.0,28295.73752348234
187.0,28411.680201794974
188.0,28444.0834653713
189.0,28407.747001149168
190.0,28405.156237965242
191.0,28388.00884961829
192.0,28104.070393665927
193.0,27895.039226949644
194.0,27899.13591587448
195.0,28063.243995149664
196.0,28199.839943848347
197.0,28303.672876676395
198.0,28296.29194290733
199.0,28416.0042951809
200.0,28513.516235061714
201.0,28546.28309148204
202.0,28656.522365476012
203.0,28722.023118274665
204.0,28741.815690802294
205.0,28522.39542331503
206.0,28195.179905051333
207.0,28061.045091069973
208.0,28047.249902960753
209.0,28108.49207398726
210.0,28233.543599898945
211.0,28403.2138567027
212.0,28510.724564952256
213.0,28572.541254802924
214.0,28612.581608688608
215.0,28682.14201909028
216.0,28676.583282161082
217.0,28771.786039028106
218.0,28769.399862966216
219.0,28811.287460446125
220.0,28812.43368363771
221.0,28886.45167657522
222.0,28985.096307988526
223.0,29027.42096277364
224.0,29049.061810391726
225.0,29113.992127893
226.0,29189.202995148044
227.0,29221.713443549495
228.0,29329.06106986766
229.0,29379.723159307323
230.0,29493.363256450895
231.0,29531.209677606173
232.0,29596.446425506183
233.0,29221.65377032535
234.0,28749.159684852228
235.0,28556.33095155878
236.0,28681.59259268688
237.0,28858.56518514563
238.0,28922.408884922344
239.0,28779.650051031764
240.0,28592.56215854086
241.0,28054.037700823865
242.0,27669.522590157056
243.0,27357.287146477218
244.0,27245.280677887058
245.0,27429.95556296411
246.0,27687.133765100145
247.0,27613.923381332777
248.0,27515.148944032495
249.0,27612.587442873053
250.0,27599.60076873737
251.0,27567.16059225412
252.0,27588.409176715613
253.0,27543.001638310125
254.0,27517.33878183562
255.0,27827.70620580834
256.0,27968.95181758227
257.0,27747.384585619093
258.0,27358.94791969988
259.0,27194.603724837147
260.0,26980.542975678167
261.0,26855.1827831165
262.0,27107.58770263111
263.0,27421.498270315853
264.0,27583.200775209472
265.0,27746.492267715053
266.0,27856.294569034486
267.0,27902.0329775016
268.0,28043.343622233548
269.0,27971.722400378043
270.0,27842.2597316579
271.0,27858.31621443342
272.0,27904.508151377726
273.0,27827.33058843975
274.0,27261.03458413999
275.0,26886.697708113563
276.0,26883.34861360154
277.0,26929.886373218684
278.0,26959.97084826754
279.0,27154.51601541991
280.0,27343.20867717518
281.0,27666.292462721
282.0,27938.034925685948
283.0,28334.834385198392
284.0,28757.738049959484
285.0,29115.990802540025
286.0,29327.56822439127
287.0,29651.29732581153
288.0,29921.106824675036
289.0,30043.621548201976
290.0,30349.93414882769
291.0,30479.212090500005
292.0,30600.15520527326
293.0,30703.972570318794
294.0,30854.72591297499
295.0,30962.506712288196
296.0,30999.500026608974
297.0,31064.920064341335
298.0,31228.711313144246
299.0,31377.746793940445
300.0,31330.283521314093
301.0,31271.512487496657
302.0,31362.6868003032
303.0,31405.142470236096
304.0,31482.165118443998
305.0,31649.829687440666
306.0,31692.347310708632
307.0,31876.831775959854
308.0,31916.007052034925
309.0,31931.012804830825
310.0,32029.452105859105
311.0,31966.809765326278
312.0,31987.70443980539
313.0,32018.29968871969
314.0,32065.957460214475
315.0,31902.76939946149
316.0,31740.66412143397
317.0,31654.80306333835
318.0,31604.109166211187
319.0,31519.845982406077
320.0,31343.86816411688
321.0,31003.191445658205
322.0,30402.733651676426
323.0,30013.3187856936
324.0,29908.887049226625
325.0,29922.526788904463
326.0,29673.04227308785
327.0,29505.059860293128
328.0,29439.016605723602
329.0,29478.902403597647
330.0,29668.423339868517
331.0,29904.95274637008
332.0,30081.873763481577
333.0,30327.95690301249
334.0,30567.050720425577
335.0,30648.451477270955
336.0,30845.06210803568
337.0,30930.98464816707
338.0,31030.898020672936
339.0,31091.210737923488
340.0,31227.451828793342
341.0,31309.53497083568
342.0,31338.4001265642
343.0,31458.4517448502
344.0,31492.583928567263
345.0,31392.043868278724
346.0,31540.239513160956
347.0,31667.26854499962
348.0,31800.866709896956
349.0,31849.355969435353
350.0,31953.223440669568
351.0,32013.230899850125
352.0,32089.052845276285
353.0,32127.685830460025
354.0,32185.149825619563
355.0,32208.49342264545
356.0,32086.19558250208
357.0,31489.77919105654
358.0,30961.83854890988
359.0,30748.073148212654
360.0,30838.35267265502
361.0,30717.77488990148
362.0,30557.4080134417
363.0,30542.130740435634
364.0,30571.269482685446
365.0,30663.007923161476
366.0,30780.763634376126
367.0,30687.663041676242
368.0,30577.98105900695
369.0,30371.76943448147
370.0,30294.340995129965
371.0,30440.405133740536
372.0,30456.515020954655
373.0,30136.84087705736
374.0,29946.29215073267
375.0,29868.33786011547
376.0,29831.51910214285
377.0,29692.64678327079
378.0,29632.800096311104
379.0,29748.060182149442
380.0,30063.005396650347
381.0,30334.579946960515
382.0,30493.352767533623
383.0,30659.646737180996
384.0,30815.37583060492
385.0,30860.317278452385
386.0,30896.29120354959
387.0,30791.771203788434
388.0,30635.575723241644
389.0,30747.85779529627
390.0,30813.25125385096
391.0,30888.111252130908
392.0,30888.671683506196
393.0,30751.322178395185
394.0,30807.270376810935
395.0,30897.25628295425
396.0,30862.185356615562
397.0,30745.049092668472
398.0,30484.919570807244
399.0,30295.785224811247
400.0,30219.411752071315
401.0,30215.229812721183
402.0,30365.931237390505
403.0,30638.784936497075
404.0,30858.589506996068
405.0,30967.071988113654
