time,env_temperature,env_pressure,altitude,env_humidity,env_co2
0.0,29.99,991.46,189.27,18.8,740
1.0,30.0,991.46,189.2,18.41,740
2.0,29.99,991.46,189.27,18.34,740
3.0,29.99,991.48,189.03,18.33,740
4.0,29.99,991.46,189.27,18.31,740
5.0,29.98,991.44,189.41,18.5,740
6.0,29.99,991.46,189.34,18.92,740
7.0,29.98,991.47,189.17,17.78,740
8.0,29.98,991.5,188.86,18.22,736
9.0,29.98,991.5,189.1,18.4,736
10.0,29.97,991.5,188.86,18.58,736
11.0,29.98,991.44,189.41,18.22,736
12.0,29.97,991.48,189.07,18.22,736
13.0,29.97,991.42,189.55,18.22,736
14.0,29.97,991.48,189.07,17.78,736
15.0,29.95,991.42,189.59,18.07,736
16.0,29.95,991.45,189.35,18.1,736
17.0,29.93,991.42,189.49,18.59,736
18.0,29.94,991.5,188.92,18.35,736
19.0,29.93,991.39,189.86,18.47,736
20.0,29.93,991.47,189.15,19.0,736
21.0,29.93,991.48,189.08,18.85,736
22.0,29.92,991.45,189.29,17.69,736
23.0,29.91,991.52,188.72,18.47,736
24.0,29.92,991.51,188.82,18.46,736
25.0,29.93,991.53,188.61,18.44,736
26.0,29.91,991.47,189.12,18.26,736
27.0,29.92,991.45,189.29,17.7,736
28.0,29.92,991.41,189.22,18.21,736
29.0,29.92,991.45,189.22,18.0,736
30.0,29.93,991.53,188.68,18.32,736
31.0,29.94,991.49,189.01,18.45,736
32.0,29.92,991.46,189.22,18.46,736
33.0,29.93,991.47,189.15,18.46,736
34.0,29.93,991.5,188.92,18.03,736
35.0,29.92,991.45,188.82,18.35,736
36.0,29.92,991.52,188.61,18.37,736
37.0,29.93,991.52,188.75,18.34,736
38.0,29.93,991.47,189.15,18.48,736
39.0,29.93,991.53,188.68,18.48,733
40.0,29.94,991.46,189.25,18.5,733
41.0,29.93,991.47,189.15,18.49,733
42.0,29.93,991.47,189.15,18.49,733
43.0,29.94,991.51,188.78,18.64,733
44.0,29.93,991.47,189.15,17.85,733
45.0,29.92,991.46,189.15,18.26,733
46.0,29.93,991.45,189.25,18.91,733
